,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,category,wnsynset,wnsynsetkey,up,front,aligned.minPoint,aligned.maxPoint,aligned.dims,isCornerPiece
0,100,hanger,hanger,2.0,cabinet,hanger,n03490884,hanger.n.02,,,-20.7407/0.0/-17.9758,20.7407/130.0/17.9758,41.4814/130.0/35.9516,
1,101,range_oven,kitchen_cabinet,2.0,counter,kitchen_cabinet/range_oven/__SYM_REFLECT_LR_APPROX,n04330340,stove.n.01,,,-30.0177/0.0/-30.0001,30.0177/78.6986/30.000004,60.0354/78.6986/60.000103,
2,102,refrigerator,kitchen_appliance,2.0,refridgerator,kitchen_appliance/refrigerator,n04070727,refrigerator.n.01,,,-29.7761/0.0/-36.817398,30.204002/200.0/31.723099,59.980103/200.0/68.5405,
3,104,desk,desk,2.0,desk,desk/__SYM_REFLECT_LR,n03179701,desk.n.01,,,-60.000004/0.0/-30.000002,60.000004/75.0/30.000002,120.00001/75.0/60.000004,
4,105,desk,desk,2.0,desk,desk,n03179701,desk.n.01,,,-55.0/0.0/-27.5,55.0/75.0/27.5,110.0/75.0/55.0,
5,106,office_chair,chair,2.0,chair,chair/office_chair/__SYM_REFLECT_LR,n04373704,swivel_chair.n.01,0/1/0,0/0/-1,-29.8098/0.0/-26.8694,29.8098/103.729996/28.169899,59.6196/103.729996/55.0393,
6,107,desk,desk,2.0,desk,desk,n03179701,desk.n.01,,,-80.0/0.0/-33.0,80.0/75.0/33.0,160.0/75.0/66.0,
7,108,desk,desk,2.0,desk,desk,n03179701,desk.n.01,,,-70.0/0.0/-33.0,70.0/75.0/33.0,140.0/75.0/66.0,
8,109,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_2,n03063968,coffee_table.n.01,,,-54.000004/0.0/-37.5,54.000004/45.0/37.5,108.00001/45.0/75.0,
9,110,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-25.0/0.23195648/-5.0,25.0/50.9975/4.9517097,50.0/50.765545/9.95171,
10,111,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-38.008003/0.0/-2.5,38.008003/46.051/2.2026796,76.01601/46.051/4.7026796,
11,112,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-49.5/0.0/-4.98375,49.5/70.3872/4.98509,99.0/70.3872/9.96884,
12,113,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,,,-53.9936/0.0/-4.86465,54.0019/71.5243/5.13535,107.9955/71.5243/10.0,
13,114,television,television,2.0,television,television/__SYM_REFLECT_LR_APPROX,n04405907,television_receiver.n.01,0/1/0,0/0/-1,-64.0/0.0/-4.9949503,64.0/77.3516/5.00004,128.0/77.3516/9.99499,
14,115,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-95.001205/0.0/-22.5,95.001205/43.0/22.5,190.00241/43.0/45.0,
15,116,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-90.1479/-0.0015411377/-20.0,90.17461/40.0/20.0,180.32251/40.00154/40.0,
16,117,tv_stand,tv_stand,2.0,cabinet,tv_stand/__SYM_REFLECT_LR,n03290653,entertainment_center.n.01,,,-72.5/0.0/-24.648796,72.5/40.0/24.5,145.0/40.0/49.148796,
17,118,hanger,hanger,2.0,cabinet,hanger/__SYM_ROTATE_UP_2,n03490884,hanger.n.02,,,-52.995903/0.0/-15.993699,52.995903/164.988/15.993699,105.991806/164.988/31.987398,
18,119,coffee_table,table,2.0,table,table/coffee_table/__SYM_ROTATE_UP_4,n03063968,coffee_table.n.01,,,-46.5/-3.8146973E-6/-46.5,46.5/56.0128/46.5,93.0/56.012802/93.0,
19,120,laptop,computer,2.0,television,computer/laptop/__SYM_REFLECT_LR_APPROX,n03642806,laptop.n.01,,,-16.0/0.0/-11.0,16.0/24.006/11.5973015,32.0/24.006/22.597301,
20,121,wardrobe_cabinet,wardrobe_cabinet,2.0,cabinet,wardrobe_cabinet/__SYM_REFLECT_LR,n02933112,cabinet.n.01,,,-100.5/3.0517578E-4/-22.0027,100.5/221.0/22.0,201.0/220.9997/44.0027,
21,122,single_hinge_door,door,2.0,door,door/single_hinge_door,n03221720,door.n.01,0/1/0,0/0/1,-40.0/0.0/-7.0,40.0/211.99998/58.0001,80.0/211.99998/65.0001,
22,122_0,,,,,door/single_hinge_door,n03221720,door.n.01,0/1/0,0/0/1,-40.0/0.0/-7.0,40.0/211.99998/13.9991,80.0/211.99998/20.9991,
